Amostra 1: Esperada=V, Predita=A, Confiança=0.0000
Amostra 2: Esperada=F, Predita=A, Confiança=0.0000
Amostra 3: Esperada=F, Predita=A, Confiança=0.0000
Amostra 4: Esperada=U, Predita=A, Confiança=0.0000
Amostra 5: Esperada=O, Predita=O, Confiança=1.0000
Amostra 6: Esperada=F, Predita=A, Confiança=0.0000
Amostra 7: Esperada=V, Predita=A, Confiança=0.0000
Amostra 8: Esperada=W, Predita=W, Confiança=1.0000
Amostra 9: Esperada=D, Predita=D, Confiança=1.0000
Amostra 10: Esperada=Q, Predita=O, Confiança=0.9457
Amostra 11: Esperada=H, Predita=A, Confiança=0.0000
Amostra 12: Esperada=G, Predita=A, Confiança=0.0000
Amostra 13: Esperada=I, Predita=A, Confiança=0.0000
Amostra 14: Esperada=P, Predita=A, Confiança=0.0000
Amostra 15: Esperada=M, Predita=M, Confiança=1.0000
Amostra 16: Esperada=G, Predita=O, Confiança=0.6041
Amostra 17: Esperada=T, Predita=Q, Confiança=0.2105
Amostra 18: Esperada=Z, Predita=A, Confiança=0.0000
Amostra 19: Esperada=M, Predita=M, Confiança=0.7600
Amostra 20: Esperada=Y, Predita=A, Confiança=0.0000
Amostra 21: Esperada=Z, Predita=A, Confiança=0.0000
Amostra 22: Esperada=K, Predita=A, Confiança=0.0000
Amostra 23: Esperada=F, Predita=A, Confiança=0.0000
Amostra 24: Esperada=T, Predita=A, Confiança=0.0000
Amostra 25: Esperada=F, Predita=A, Confiança=0.0000
Amostra 26: Esperada=S, Predita=A, Confiança=0.0000
Amostra 27: Esperada=L, Predita=A, Confiança=0.0000
Amostra 28: Esperada=A, Predita=X, Confiança=0.7372
Amostra 29: Esperada=Y, Predita=A, Confiança=0.0000
Amostra 30: Esperada=P, Predita=A, Confiança=0.0000
Amostra 31: Esperada=U, Predita=A, Confiança=0.0000
Amostra 32: Esperada=A, Predita=A, Confiança=0.0000
Amostra 33: Esperada=I, Predita=A, Confiança=0.0000
Amostra 34: Esperada=U, Predita=D, Confiança=0.4474
Amostra 35: Esperada=O, Predita=O, Confiança=1.0000
Amostra 36: Esperada=K, Predita=W, Confiança=0.0990
Amostra 37: Esperada=C, Predita=A, Confiança=0.0000
Amostra 38: Esperada=Z, Predita=A, Confiança=0.0000
Amostra 39: Esperada=X, Predita=X, Confiança=0.9335
Amostra 40: Esperada=S, Predita=A, Confiança=0.0000
Amostra 41: Esperada=O, Predita=O, Confiança=1.0000
Amostra 42: Esperada=C, Predita=A, Confiança=0.0000
Amostra 43: Esperada=F, Predita=A, Confiança=0.0000
Amostra 44: Esperada=G, Predita=A, Confiança=0.0000
Amostra 45: Esperada=Y, Predita=X, Confiança=0.0933
Amostra 46: Esperada=Y, Predita=A, Confiança=0.0000
Amostra 47: Esperada=O, Predita=O, Confiança=0.4651
Amostra 48: Esperada=C, Predita=A, Confiança=0.0000
Amostra 49: Esperada=D, Predita=D, Confiança=1.0000
Amostra 50: Esperada=E, Predita=A, Confiança=0.0000
Amostra 51: Esperada=A, Predita=A, Confiança=0.0000
Amostra 52: Esperada=I, Predita=A, Confiança=0.0000
Amostra 53: Esperada=O, Predita=O, Confiança=0.6919
Amostra 54: Esperada=C, Predita=A, Confiança=0.0000
Amostra 55: Esperada=T, Predita=A, Confiança=0.0000
Amostra 56: Esperada=V, Predita=A, Confiança=0.0000
Amostra 57: Esperada=G, Predita=A, Confiança=0.0000
Amostra 58: Esperada=R, Predita=R, Confiança=0.4456
Amostra 59: Esperada=A, Predita=R, Confiança=0.6758
Amostra 60: Esperada=F, Predita=A, Confiança=0.0000
Amostra 61: Esperada=N, Predita=N, Confiança=0.9285
Amostra 62: Esperada=I, Predita=A, Confiança=0.0000
Amostra 63: Esperada=A, Predita=X, Confiança=0.0729
Amostra 64: Esperada=F, Predita=A, Confiança=0.0000
Amostra 65: Esperada=C, Predita=A, Confiança=0.0000
Amostra 66: Esperada=Z, Predita=A, Confiança=0.0000
Amostra 67: Esperada=R, Predita=A, Confiança=0.0000
Amostra 68: Esperada=A, Predita=X, Confiança=0.1501
Amostra 69: Esperada=X, Predita=X, Confiança=0.9562
Amostra 70: Esperada=C, Predita=A, Confiança=0.0000
Amostra 71: Esperada=G, Predita=Q, Confiança=0.0072
Amostra 72: Esperada=E, Predita=R, Confiança=0.3155
Amostra 73: Esperada=L, Predita=A, Confiança=0.0000
Amostra 74: Esperada=P, Predita=A, Confiança=0.0000
Amostra 75: Esperada=D, Predita=D, Confiança=0.3496
Amostra 76: Esperada=T, Predita=A, Confiança=0.0000
Amostra 77: Esperada=B, Predita=A, Confiança=0.0000
Amostra 78: Esperada=N, Predita=N, Confiança=1.0000
Amostra 79: Esperada=N, Predita=N, Confiança=0.3718
Amostra 80: Esperada=H, Predita=A, Confiança=0.0000
Amostra 81: Esperada=B, Predita=A, Confiança=0.0000
Amostra 82: Esperada=T, Predita=A, Confiança=0.0000
Amostra 83: Esperada=S, Predita=A, Confiança=0.0000
Amostra 84: Esperada=K, Predita=A, Confiança=0.0000
Amostra 85: Esperada=S, Predita=A, Confiança=0.0000
Amostra 86: Esperada=X, Predita=X, Confiança=1.0000
Amostra 87: Esperada=J, Predita=A, Confiança=0.0000
Amostra 88: Esperada=L, Predita=A, Confiança=0.0000
Amostra 89: Esperada=L, Predita=A, Confiança=0.0000
Amostra 90: Esperada=O, Predita=O, Confiança=1.0000
Amostra 91: Esperada=Y, Predita=A, Confiança=0.0000
Amostra 92: Esperada=S, Predita=A, Confiança=0.0000
Amostra 93: Esperada=P, Predita=A, Confiança=0.0000
Amostra 94: Esperada=X, Predita=A, Confiança=0.0000
Amostra 95: Esperada=W, Predita=W, Confiança=1.0000
Amostra 96: Esperada=A, Predita=A, Confiança=0.0000
Amostra 97: Esperada=P, Predita=A, Confiança=0.0000
Amostra 98: Esperada=T, Predita=A, Confiança=0.0000
Amostra 99: Esperada=Y, Predita=X, Confiança=0.0704
Amostra 100: Esperada=U, Predita=A, Confiança=0.0000
Amostra 101: Esperada=D, Predita=D, Confiança=0.9293
Amostra 102: Esperada=Z, Predita=A, Confiança=0.0000
